,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates
4256,8.1,0.26,0.27,4.3,0.03,43.0,123.0,0.99212,3.16,0.33
2807,6.8,0.3,0.24,6.6,0.123,35.0,116.0,0.9953,3.07,0.48
4441,6.8,0.25,0.3,11.8,0.043,53.0,133.0,0.99524,3.03,0.58
4383,6.3,0.2,0.18,10.6,0.045,57.0,159.0,0.99666,3.09,0.54
81,7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64
2748,7.1,0.3,0.49,1.6,0.045,31.0,100.0,0.9942,3.4,0.59
3830,5.0,0.3,0.33,3.7,0.03,54.0,173.0,0.9887,3.36,0.3
1972,7.0,0.21,0.34,8.0,0.057,19.0,101.0,0.9954,2.99,0.59
1714,7.8,0.21,0.27,1.2,0.051,20.0,89.0,0.9936,3.06,0.46
1488,7.6,0.18,0.46,10.2,0.055,58.0,135.0,0.9968,3.14,0.43
1777,7.2,0.28,0.54,16.7,0.045,54.0,200.0,0.999,3.08,0.49
498,12.3,0.27,0.49,3.1,0.079,28.0,46.0,0.9993,3.2,0.8
4624,7.2,0.17,0.28,17.55,0.05,33.0,154.0,0.99971,2.94,0.43
2228,6.2,0.34,0.29,7.6,0.047,45.0,232.0,0.9955,3.35,0.62
5081,5.2,0.5,0.18,2.0,0.036,23.0,129.0,0.98949,3.36,0.77
1946,7.4,0.31,0.48,14.2,0.042,62.0,204.0,0.9983,3.06,0.59
4244,7.6,0.23,0.29,8.6,0.053,65.0,146.0,0.9963,3.11,0.32
3318,6.5,0.18,0.29,1.7,0.035,39.0,144.0,0.9927,3.49,0.5
3460,6.6,0.42,0.13,12.8,0.044,26.0,158.0,0.99772,3.24,0.47
5178,6.1,0.24,0.32,9.0,0.031,41.0,134.0,0.99234,3.25,0.26
2457,6.9,0.2,0.4,7.7,0.032,51.0,176.0,0.9939,3.22,0.27
1610,7.2,0.19,0.46,3.8,0.041,82.0,187.0,0.9932,3.19,0.6
5149,6.4,0.69,0.09,7.6,0.044,34.0,144.0,0.9948,3.26,0.38
2592,8.5,0.17,0.74,3.6,0.05,29.0,128.0,0.9928,3.28,0.4
4204,6.2,0.37,0.24,6.1,0.032,19.0,86.0,0.98934,3.04,0.26
2309,9.8,0.36,0.45,1.6,0.042,11.0,124.0,0.9944,2.93,0.46
1022,7.7,0.57,0.21,1.5,0.069,4.0,9.0,0.99458,3.16,0.54
2596,7.0,0.2,0.74,0.8,0.044,19.0,163.0,0.9931,3.46,0.53
5200,5.9,0.48,0.3,1.5,0.037,19.0,78.0,0.99057,3.47,0.42
2280,7.0,0.17,0.33,4.0,0.034,17.0,127.0,0.9934,3.19,0.39
4116,7.6,0.2,0.26,4.8,0.033,26.0,76.0,0.99076,2.98,0.49
3487,6.6,0.24,0.28,1.8,0.028,39.0,132.0,0.99182,3.34,0.46
2298,6.5,0.22,0.34,12.0,0.053,55.0,177.0,0.9983,3.52,0.44
665,7.9,0.72,0.01,1.9,0.076,7.0,32.0,0.99668,3.39,0.54
5113,5.7,0.39,0.25,4.9,0.033,49.0,113.0,0.98966,3.26,0.58
4796,5.8,0.3,0.23,1.5,0.034,37.0,121.0,0.98871,2.96,0.34
1552,7.1,0.25,0.32,10.3,0.041,66.0,272.0,0.9969,3.17,0.52
4647,5.4,0.265,0.28,7.8,0.052,27.0,91.0,0.99432,3.19,0.38
5217,6.7,0.3,0.5,12.1,0.045,38.0,127.0,0.9974,3.04,0.53
1017,7.2,0.25,0.37,2.5,0.063,11.0,41.0,0.99439,3.52,0.8
557,9.5,0.59,0.44,2.3,0.071,21.0,68.0,0.9992,3.46,0.63
3038,7.2,0.15,0.39,1.8,0.043,21.0,159.0,0.9948,3.52,0.47
5079,6.1,0.44,0.28,4.25,0.032,43.0,132.0,0.9916,3.26,0.47
1207,8.3,0.26,0.37,1.4,0.076,8.0,23.0,0.9974,3.26,0.7
2291,6.3,0.16,0.4,1.6,0.033,59.0,148.0,0.9914,3.44,0.53
4149,5.8,0.15,0.32,1.2,0.037,14.0,119.0,0.99137,3.19,0.5
1510,6.0,0.67,0.07,1.2,0.06,9.0,108.0,0.9931,3.11,0.35
4965,6.4,0.13,0.28,0.9,0.045,32.0,87.0,0.99175,3.47,0.52
3265,6.9,0.44,0.18,11.8,0.051,26.0,126.0,0.9975,3.23,0.48
266,10.3,0.53,0.48,2.5,0.063,6.0,25.0,0.9998,3.12,0.59
2145,6.4,0.43,0.32,1.4,0.048,10.0,67.0,0.992,3.08,0.41
2685,7.8,0.26,0.49,3.1,0.045,21.0,116.0,0.9931,3.16,0.35
3619,6.9,0.615,0.42,12.0,0.067,24.0,131.0,0.99727,3.19,0.34
1909,6.6,0.27,0.25,3.1,0.052,41.0,188.0,0.9915,3.24,0.4
3231,7.2,0.39,0.54,1.4,0.157,34.0,132.0,0.99449,3.11,0.53
3503,6.9,0.13,0.28,13.3,0.05,47.0,132.0,0.99655,3.34,0.42
3196,6.9,0.21,0.33,1.4,0.056,35.0,136.0,0.9938,3.63,0.78
3882,6.5,0.36,0.38,10.2,0.028,20.0,82.0,0.99274,3.1,0.43
1784,5.9,0.62,0.28,3.5,0.039,55.0,152.0,0.9907,3.44,0.44
1237,7.9,0.2,0.35,1.7,0.054,7.0,15.0,0.99458,3.32,0.8
5249,7.0,0.24,0.47,1.3,0.043,18.0,131.0,0.99176,3.19,0.45
2765,7.8,0.445,0.56,1.0,0.04,8.0,84.0,0.9938,3.25,0.43
908,6.6,0.52,0.08,2.4,0.07,13.0,26.0,0.99358,3.4,0.72
1303,7.0,0.55,0.13,2.2,0.075,15.0,35.0,0.9959,3.36,0.59
3613,6.5,0.29,0.31,1.7,0.035,24.0,79.0,0.99053,3.27,0.69
1627,6.8,0.25,0.34,4.7,0.031,34.0,134.0,0.9927,3.21,0.38
1522,6.6,0.28,0.28,8.5,0.052,55.0,211.0,0.9962,3.09,0.55
835,12.2,0.45,0.49,1.4,0.075,3.0,6.0,0.9969,3.13,0.63
358,9.0,0.43,0.34,2.5,0.08,26.0,86.0,0.9987,3.38,0.62
138,7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,0.71
299,11.9,0.57,0.5,2.6,0.082,6.0,32.0,1.0006,3.12,0.78
1556,7.2,0.23,0.38,14.3,0.058,55.0,194.0,0.9979,3.09,0.44
1003,6.5,0.61,0.0,2.2,0.095,48.0,59.0,0.99541,3.61,0.7
382,7.0,0.62,0.18,1.5,0.062,7.0,50.0,0.9951,3.08,0.6
3010,8.0,0.23,0.35,9.2,0.044,53.0,186.0,0.997,3.09,0.56
761,9.0,0.8,0.12,2.4,0.083,8.0,28.0,0.99836,3.33,0.65
2894,6.0,0.26,0.29,1.0,0.032,27.0,96.0,0.9896,3.38,0.44
4486,5.9,0.18,0.29,4.6,0.032,68.0,137.0,0.99159,3.21,0.38
2495,7.2,0.16,0.32,0.8,0.04,50.0,121.0,0.9922,3.27,0.33
4783,6.8,0.26,0.26,2.0,0.019,23.5,72.0,0.99041,3.16,0.47
1402,7.2,0.19,0.31,1.6,0.062,31.0,173.0,0.9917,3.35,0.44
3150,7.0,0.22,0.33,2.1,0.052,15.0,76.0,0.993,3.2,0.41
4582,5.6,0.23,0.25,8.0,0.043,31.0,101.0,0.99429,3.19,0.42
1932,8.1,0.46,0.31,1.7,0.052,50.0,183.0,0.9923,3.03,0.42
5041,6.1,0.35,0.24,2.3,0.034,25.0,133.0,0.9906,3.34,0.59
4250,6.6,0.22,0.3,14.7,0.045,50.0,136.0,0.99704,3.14,0.37
3105,7.2,0.24,0.19,7.7,0.045,53.0,176.0,0.9958,3.17,0.38
3858,6.2,0.33,0.41,16.8,0.037,58.0,173.0,0.99882,3.25,0.57
58,7.5,0.52,0.16,1.9,0.085,12.0,35.0,0.9968,3.38,0.62
76,7.4,0.5,0.47,2.0,0.086,21.0,73.0,0.997,3.36,0.57
796,7.4,0.61,0.01,2.0,0.074,13.0,38.0,0.99748,3.48,0.65
3708,6.7,0.24,0.29,14.9,0.053,55.0,136.0,0.99839,3.03,0.52
785,5.3,0.715,0.19,1.5,0.161,7.0,62.0,0.99395,3.62,0.61
2316,6.9,0.2,0.28,1.2,0.048,36.0,159.0,0.9936,3.19,0.43
3227,7.2,0.29,0.2,7.7,0.046,51.0,174.0,0.99582,3.16,0.52
2223,6.6,0.14,0.44,1.6,0.042,47.0,140.0,0.993,3.32,0.51
2688,6.2,0.27,0.49,1.4,0.05,20.0,74.0,0.9931,3.32,0.44
4119,6.6,0.18,0.28,1.7,0.041,53.0,161.0,0.99207,3.13,0.45
910,8.0,0.62,0.35,2.8,0.086,28.0,52.0,0.997,3.31,0.62
2822,8.7,0.34,0.46,13.8,0.055,68.0,198.0,0.9988,3.36,0.37
4986,6.8,0.33,0.3,2.1,0.047,35.0,147.0,0.9886,3.24,0.56
1257,8.1,0.33,0.44,1.5,0.042,6.0,12.0,0.99542,3.35,0.61
3956,6.2,0.19,0.38,5.1,0.019,22.0,82.0,0.98961,3.05,0.36
5133,5.7,0.21,0.37,4.5,0.04,58.0,140.0,0.99332,3.29,0.62
1178,6.0,0.49,0.0,2.3,0.068,15.0,33.0,0.99292,3.58,0.59
5261,5.6,0.295,0.26,1.1,0.035,40.0,102.0,0.99154,3.47,0.56
442,11.2,0.67,0.55,2.3,0.084,6.0,13.0,1.0,3.17,0.71
3262,7.3,0.3,0.33,2.3,0.043,28.0,125.0,0.99084,3.34,0.44
3824,6.6,0.28,0.34,0.8,0.037,42.0,119.0,0.9888,3.03,0.37
3208,7.7,0.27,0.61,12.0,0.046,64.0,179.0,0.9982,3.07,0.46
5078,7.1,0.33,0.18,6.3,0.094,27.0,166.0,0.99474,2.9,0.49
3940,5.5,0.19,0.27,0.9,0.04,52.0,103.0,0.99026,3.5,0.39
5148,6.8,0.3,0.33,12.8,0.041,60.0,168.0,0.99659,3.1,0.56
4182,6.7,0.47,0.29,4.75,0.034,29.0,134.0,0.99056,3.29,0.46
2810,6.8,0.27,0.32,1.5,0.044,19.0,142.0,0.9921,3.1,0.43
3728,6.4,0.22,0.31,13.9,0.04,57.0,135.0,0.99672,3.21,0.38
4917,6.1,0.31,0.34,2.8,0.042,59.5,162.0,0.99179,3.27,0.47
4926,6.1,0.21,0.19,1.4,0.046,51.0,131.0,0.99184,3.22,0.39
2222,6.2,0.15,0.46,1.6,0.039,38.0,123.0,0.993,3.38,0.51
3458,7.3,0.16,0.35,1.5,0.036,29.0,108.0,0.99342,3.27,0.51
1502,7.1,0.3,0.46,1.5,0.066,29.0,133.0,0.9906,3.12,0.54
2488,7.9,0.16,0.64,17.0,0.05,69.0,210.0,1.0004,3.15,0.51
3082,7.6,0.18,0.36,2.4,0.049,38.0,123.0,0.996,3.6,0.46
2011,6.1,0.27,0.3,16.7,0.039,49.0,172.0,0.99985,3.4,0.45
3994,7.5,0.18,0.45,4.6,0.041,67.0,158.0,0.9927,3.01,0.38
4985,6.7,0.23,0.17,1.3,0.061,14.0,100.0,0.9925,3.07,0.55
4301,6.6,0.295,0.24,1.6,0.039,29.0,140.0,0.99304,3.35,0.61
3976,5.8,0.28,0.3,1.5,0.026,31.0,114.0,0.98952,3.32,0.6
6,7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47
678,7.1,0.59,0.01,2.5,0.077,20.0,85.0,0.99746,3.55,0.59
1943,6.3,0.34,0.28,14.7,0.047,49.0,198.0,0.9977,3.23,0.46
4808,5.7,0.22,0.2,16.0,0.044,41.0,113.0,0.99862,3.22,0.46
4904,6.3,0.19,0.32,2.8,0.046,18.0,80.0,0.99043,2.92,0.47
4141,7.4,0.29,0.28,10.2,0.032,43.0,138.0,0.9951,3.1,0.47
4098,7.6,0.17,0.27,4.6,0.05,23.0,98.0,0.99422,3.08,0.47
2858,7.8,0.4,0.26,9.5,0.059,32.0,178.0,0.9955,3.04,0.43
4901,5.2,0.22,0.46,6.2,0.066,41.0,187.0,0.99362,3.19,0.42
1064,7.1,0.6,0.01,2.3,0.079,24.0,37.0,0.99514,3.4,0.61
2995,6.7,0.31,0.44,6.7,0.054,29.0,160.0,0.9952,3.04,0.44
1474,8.2,0.23,0.4,1.2,0.027,36.0,121.0,0.992,3.12,0.38
3833,6.6,0.22,0.36,5.5,0.029,30.0,105.0,0.99206,3.2,0.47
4857,7.1,0.23,0.3,2.6,0.034,62.0,148.0,0.99121,3.03,0.56
4771,6.3,0.26,0.25,5.2,0.046,11.0,133.0,0.99202,2.97,0.68
2021,7.7,0.34,0.28,11.0,0.04,31.0,117.0,0.99815,3.27,0.29
4197,6.8,0.19,0.34,1.9,0.04,41.0,108.0,0.99,3.25,0.45
3438,8.6,0.34,0.36,1.4,0.045,11.0,119.0,0.99556,3.17,0.47
2194,8.6,0.18,0.36,1.8,0.04,24.0,187.0,0.9956,3.25,0.55
1130,7.4,0.6,0.26,2.1,0.083,17.0,91.0,0.99616,3.29,0.56
1461,7.4,0.16,0.31,6.85,0.059,31.0,131.0,0.9952,3.29,0.34
4822,5.6,0.26,0.0,10.2,0.038,13.0,111.0,0.99315,3.44,0.46
2648,14.2,0.27,0.49,1.1,0.037,33.0,156.0,0.992,3.15,0.54
4080,5.1,0.21,0.28,1.4,0.047,48.0,148.0,0.99168,3.5,0.49
222,7.7,0.775,0.42,1.9,0.092,8.0,86.0,0.9959,3.23,0.59
4937,6.3,0.39,0.22,2.8,0.048,53.0,173.0,0.99304,3.24,0.45
48,6.6,0.5,0.04,2.1,0.068,6.0,14.0,0.9955,3.39,0.64
573,7.2,0.57,0.06,1.6,0.076,9.0,27.0,0.9972,3.36,0.7
1236,8.4,0.29,0.4,1.7,0.067,8.0,20.0,0.99603,3.39,0.6
4026,6.7,0.24,0.37,11.3,0.043,64.0,173.0,0.99632,3.08,0.53
5161,5.5,0.315,0.38,2.6,0.033,10.0,69.0,0.9909,3.12,0.59
4788,5.9,0.14,0.2,1.6,0.04,26.0,114.0,0.99105,3.25,0.45
267,7.6,0.62,0.32,2.2,0.082,7.0,54.0,0.9966,3.36,0.52
1104,7.2,0.53,0.14,2.1,0.064,15.0,29.0,0.99323,3.35,0.61
1935,6.8,0.67,0.3,13.0,0.29,22.0,193.0,0.9984,3.08,0.67
386,10.0,0.44,0.49,2.7,0.077,11.0,19.0,0.9963,3.23,0.63
3758,6.2,0.2,0.31,1.0,0.031,22.0,73.0,0.99035,3.24,0.52
3519,6.3,0.27,0.46,11.1,0.053,44.0,177.0,0.99691,3.18,0.67
3102,8.3,0.17,0.31,1.5,0.049,48.0,153.0,0.9942,3.12,0.58
4667,5.7,0.31,0.28,4.1,0.03,22.0,86.0,0.99062,3.31,0.38
1563,6.8,0.24,0.34,2.7,0.047,64.5,218.5,0.9934,3.3,0.58
4705,7.1,0.13,0.29,15.5,0.064,56.0,115.5,0.99737,3.16,0.41
209,7.2,0.63,0.0,1.9,0.097,14.0,38.0,0.99675,3.37,0.58
909,11.1,0.31,0.53,2.2,0.06,3.0,10.0,0.99572,3.02,0.83
1289,6.6,0.7,0.08,2.6,0.106,14.0,27.0,0.99665,3.44,0.58
3971,6.5,0.21,0.4,7.3,0.041,49.0,115.0,0.99268,3.21,0.43
3089,7.3,0.34,0.3,1.3,0.057,25.0,173.0,0.9948,3.26,0.51
1842,8.2,0.23,0.29,1.8,0.047,47.0,187.0,0.9933,3.13,0.5
4362,7.1,0.2,0.27,9.6,0.037,19.0,105.0,0.99444,3.04,0.37
2916,7.1,0.25,0.25,1.6,0.046,50.0,181.0,0.9925,3.2,0.42
958,5.8,0.29,0.26,1.7,0.063,3.0,11.0,0.9915,3.39,0.54
1793,5.9,0.13,0.28,1.9,0.05,20.0,78.0,0.9918,3.43,0.64
2088,10.3,0.17,0.47,1.4,0.037,5.0,33.0,0.9939,2.89,0.28
331,11.4,0.625,0.66,6.2,0.088,6.0,24.0,0.9988,3.11,0.99
2917,6.4,0.18,0.31,1.6,0.049,36.0,127.0,0.9934,3.6,0.67
3114,6.2,0.34,0.3,11.1,0.047,28.0,237.0,0.9981,3.18,0.49
4996,6.3,0.36,0.2,2.0,0.048,48.0,191.0,0.9929,3.17,0.51
1774,7.2,0.4,0.62,10.8,0.041,70.0,189.0,0.9976,3.08,0.49
2698,7.0,0.27,0.74,1.5,0.036,27.0,122.0,0.9926,3.35,0.48
5125,6.4,0.31,0.53,8.8,0.057,36.0,221.0,0.99642,3.17,0.44
4331,5.9,0.18,0.28,5.1,0.039,50.0,139.0,0.99165,3.16,0.44
3570,7.0,0.15,0.3,13.3,0.049,46.0,120.0,0.99704,3.2,0.36
3024,8.1,0.22,0.28,7.7,0.043,57.0,176.0,0.9954,3.12,0.55
2245,6.1,0.37,0.36,4.7,0.035,36.0,116.0,0.991,3.31,0.62
3831,6.5,0.2,0.5,18.1,0.054,50.0,221.0,0.99941,2.94,0.64
4053,6.8,0.21,0.31,2.9,0.046,40.0,121.0,0.9913,3.07,0.65
1366,8.6,0.23,0.4,4.2,0.035,17.0,109.0,0.9947,3.14,0.53
173,7.3,0.58,0.3,2.4,0.074,15.0,55.0,0.9968,3.46,0.59
3697,6.9,0.15,0.29,2.3,0.033,14.0,82.0,0.99132,3.1,0.58
3785,5.1,0.29,0.28,8.3,0.026,27.0,107.0,0.99308,3.36,0.37
2314,5.7,0.1,0.27,1.3,0.047,21.0,100.0,0.9928,3.27,0.46
4651,6.2,0.3,0.32,1.2,0.052,32.0,185.0,0.99266,3.28,0.44
1952,8.6,0.27,0.46,6.1,0.032,13.0,41.0,0.993,2.89,0.34
5210,5.0,0.27,0.4,1.2,0.076,42.0,124.0,0.99204,3.32,0.47
2036,6.4,0.31,0.26,13.2,0.046,57.0,205.0,0.9975,3.17,0.41
3975,6.6,0.19,0.33,1.8,0.035,42.0,148.0,0.99196,3.15,0.36
3749,8.6,0.18,0.28,0.8,0.032,25.0,78.0,0.99104,2.99,0.38
3379,6.4,0.28,0.17,8.3,0.042,61.0,195.0,0.99577,3.22,0.46
0,7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56
2174,5.1,0.42,0.01,1.5,0.017,25.0,102.0,0.9894,3.38,0.36
1356,5.9,0.55,0.1,2.2,0.062,39.0,51.0,0.99512,3.52,0.76
3859,7.2,0.21,1.0,1.1,0.154,46.0,114.0,0.9931,2.95,0.43
2575,6.3,0.23,0.49,7.1,0.05,67.0,210.0,0.9951,3.23,0.34
2523,6.2,0.3,0.32,1.7,0.032,30.0,130.0,0.9911,3.28,0.41
396,7.0,0.23,0.4,1.6,0.063,21.0,67.0,0.9952,3.5,0.63
4075,6.6,0.435,0.38,9.2,0.058,66.0,243.0,0.99833,3.23,0.54
4263,5.7,0.22,0.22,16.65,0.044,39.0,110.0,0.99855,3.24,0.48
1812,5.5,0.35,0.35,1.1,0.045,14.0,167.0,0.992,3.34,0.68
2897,7.3,0.19,0.24,6.3,0.054,34.0,231.0,0.9964,3.36,0.54
3554,6.8,0.19,0.23,5.1,0.034,71.0,204.0,0.9942,3.23,0.69
816,9.5,0.37,0.52,2.0,0.088,12.0,51.0,0.99613,3.29,0.58
1572,5.8,0.24,0.44,3.5,0.029,5.0,109.0,0.9913,3.53,0.43
3372,6.1,0.36,0.41,19.35,0.07,67.0,207.0,1.00118,3.39,0.53
1800,7.2,0.31,0.46,5.0,0.04,3.0,29.0,0.9906,3.04,0.53
4220,6.4,0.3,0.36,2.0,0.052,18.0,141.0,0.99273,3.38,0.53
4654,7.0,0.2,0.4,1.1,0.058,30.0,93.0,0.99322,3.03,0.38
2627,6.6,0.3,0.24,1.2,0.034,17.0,121.0,0.9933,3.13,0.36
4603,5.9,0.23,0.24,1.6,0.037,32.0,115.0,0.99076,3.21,0.51
3095,5.9,0.17,0.3,1.4,0.042,25.0,119.0,0.9931,3.68,0.72
4882,6.1,0.34,0.21,5.0,0.042,17.0,133.0,0.99373,3.02,0.53
2650,7.4,0.27,0.49,1.1,0.037,33.0,156.0,0.992,3.15,0.54
3439,8.5,0.3,0.28,3.1,0.054,54.0,174.0,0.99543,3.21,0.43
4772,6.0,0.22,0.23,5.0,0.045,10.0,122.0,0.99261,2.94,0.63
554,7.7,0.915,0.12,2.2,0.143,7.0,23.0,0.9964,3.35,0.65
1159,6.9,0.54,0.3,2.2,0.088,9.0,105.0,0.99725,3.25,1.18
1213,7.6,0.43,0.31,2.1,0.069,13.0,74.0,0.9958,3.26,0.54
4845,5.9,0.2,0.28,1.0,0.043,45.0,100.0,0.99033,3.4,0.41
4088,5.8,0.17,0.36,1.3,0.036,11.0,70.0,0.99202,3.43,0.68
2895,6.8,0.33,0.28,1.2,0.032,38.0,131.0,0.9889,3.19,0.41
2686,8.5,0.17,0.49,8.8,0.048,23.0,108.0,0.9947,2.88,0.34
700,7.3,0.49,0.1,2.6,0.068,4.0,14.0,0.99562,3.3,0.47
3593,6.6,0.26,0.38,6.5,0.17,68.0,201.0,0.9956,3.19,0.38
3492,6.3,0.34,0.36,4.9,0.035,31.0,185.0,0.9946,3.15,0.49
3761,7.7,0.18,0.3,1.2,0.046,49.0,199.0,0.99413,3.03,0.38
1455,5.5,0.485,0.0,1.5,0.065,8.0,103.0,0.994,3.63,0.4
4467,7.1,0.44,0.23,5.8,0.035,24.0,100.0,0.99062,3.15,0.57
2357,9.8,0.44,0.4,2.8,0.036,35.0,167.0,0.9956,2.97,0.39
4599,6.5,0.46,0.24,11.5,0.051,56.0,171.0,0.99588,3.08,0.56
866,8.0,0.18,0.37,0.9,0.049,36.0,109.0,0.99007,2.89,0.44
1644,6.3,0.23,0.33,1.5,0.036,15.0,105.0,0.991,3.32,0.42
3614,6.8,0.3,0.22,6.2,0.06,41.0,190.0,0.99858,3.18,0.51
4403,6.1,0.22,0.46,1.8,0.16,34.0,74.0,0.9884,3.19,0.33
2763,8.1,0.28,0.46,15.4,0.059,32.0,177.0,1.0004,3.27,0.58
1490,8.2,0.23,0.4,7.5,0.049,12.0,76.0,0.9966,3.06,0.84
3599,6.4,0.21,0.44,7.4,0.045,47.0,182.0,0.9957,3.24,0.46
729,9.9,0.25,0.46,1.7,0.062,26.0,42.0,0.9959,3.18,0.83
3132,6.8,0.28,0.39,1.4,0.036,15.0,115.0,0.9918,3.27,0.72
2809,7.0,0.21,0.31,6.0,0.046,29.0,108.0,0.9939,3.26,0.5
1936,7.2,0.28,0.3,10.7,0.044,61.0,222.0,0.9972,3.14,0.5
1110,8.0,0.28,0.44,1.8,0.081,28.0,68.0,0.99501,3.36,0.66
4334,7.3,0.31,0.25,6.65,0.032,30.0,138.0,0.99244,2.9,0.37
4762,8.0,0.33,0.32,4.6,0.041,31.0,180.0,0.99184,2.92,0.74
1185,7.3,0.59,0.26,2.0,0.08,17.0,104.0,0.99584,3.28,0.52
2007,6.7,0.11,0.34,8.8,0.043,41.0,113.0,0.9962,3.42,0.4
193,8.1,0.725,0.22,2.2,0.072,11.0,41.0,0.9967,3.36,0.55
1515,6.9,0.27,0.4,14.0,0.05,64.0,227.0,0.9979,3.18,0.58
578,11.3,0.34,0.45,2.0,0.082,6.0,15.0,0.9988,2.94,0.66
2123,5.8,0.29,0.05,0.8,0.038,11.0,30.0,0.9924,3.36,0.35
1429,7.1,0.2,0.34,16.0,0.05,51.0,166.0,0.9985,3.21,0.6
4842,6.3,0.28,0.22,11.5,0.036,27.0,150.0,0.99445,3.0,0.33
5269,5.6,0.34,0.25,2.5,0.046,47.0,182.0,0.99093,3.21,0.4
1846,7.3,0.3,0.22,6.4,0.056,44.0,168.0,0.9947,3.13,0.35
131,7.6,0.49,0.26,1.6,0.236,10.0,88.0,0.9968,3.11,0.8
178,8.8,0.37,0.48,2.1,0.097,39.0,145.0,0.9975,3.04,1.03
4757,7.1,0.38,0.42,11.8,0.041,32.0,193.0,0.99624,3.04,0.49
3058,7.2,0.23,0.33,12.7,0.049,50.0,183.0,0.9987,3.41,0.4
2862,6.4,0.15,0.36,1.8,0.034,43.0,150.0,0.9922,3.42,0.69
2692,9.8,0.31,0.49,15.4,0.046,13.0,119.0,1.0004,3.18,0.45
2980,9.2,0.27,0.34,10.5,0.043,49.0,228.0,0.9974,3.04,0.41
2073,7.4,0.2,0.35,2.1,0.038,30.0,116.0,0.9949,3.49,0.77
658,9.3,0.655,0.26,2.0,0.096,5.0,35.0,0.99738,3.25,0.42
1896,6.3,0.21,0.33,13.9,0.046,68.0,179.0,0.9971,3.36,0.5
3768,6.7,0.39,0.31,2.7,0.054,27.0,202.0,0.9948,3.46,0.57
2221,6.8,0.34,0.74,2.8,0.088,23.0,185.0,0.9928,3.51,0.7
5130,4.9,0.335,0.14,1.3,0.036,69.0,168.0,0.99212,3.47,0.46
342,9.5,0.37,0.52,2.0,0.082,6.0,26.0,0.998,3.18,0.51
2890,8.2,0.42,0.29,4.1,0.03,31.0,100.0,0.9911,3.0,0.32
727,10.6,0.5,0.45,2.6,0.119,34.0,68.0,0.99708,3.23,0.72
4200,6.7,0.16,0.36,2.0,0.045,24.0,131.0,0.99284,3.3,0.59
976,8.2,0.2,0.43,2.5,0.076,31.0,51.0,0.99672,3.53,0.81
4060,7.3,0.25,0.28,1.5,0.043,19.0,113.0,0.99338,3.38,0.56
3384,6.4,0.35,0.35,5.6,0.034,9.0,148.0,0.99441,3.17,0.5
1928,6.7,0.28,0.14,1.4,0.043,64.0,159.0,0.992,3.17,0.39
4472,6.2,0.31,0.23,3.3,0.052,34.0,113.0,0.99429,3.16,0.48
3683,6.6,0.4,0.46,6.2,0.056,42.0,241.0,0.9968,3.5,0.6
1299,6.1,0.705,0.1,2.8,0.081,13.0,28.0,0.99631,3.6,0.66
4095,6.6,0.425,0.25,2.35,0.034,23.0,87.0,0.99082,3.05,0.41
5038,5.6,0.22,0.32,1.2,0.024,29.0,97.0,0.98823,3.2,0.46
660,9.1,0.68,0.11,2.8,0.093,11.0,44.0,0.99888,3.31,0.55
1790,6.1,0.31,0.26,2.2,0.051,28.0,167.0,0.9926,3.37,0.47
2718,7.8,0.26,0.49,3.2,0.027,28.0,87.0,0.9919,3.03,0.32
3162,7.0,0.35,0.31,1.8,0.069,15.0,162.0,0.9944,3.18,0.47
3382,7.4,0.35,0.2,13.9,0.054,63.0,229.0,0.99888,3.11,0.5
2486,8.3,0.21,0.41,2.2,0.05,24.0,108.0,0.994,2.85,0.45
5141,7.2,0.26,0.32,10.4,0.062,23.0,114.0,0.9966,3.23,0.49
4480,7.1,0.39,0.79,1.4,0.194,23.0,90.0,0.99212,3.17,0.46
4085,6.9,0.17,0.3,2.0,0.047,13.0,117.0,0.99152,3.16,0.51
3630,5.8,0.315,0.27,1.55,0.026,15.0,70.0,0.98994,3.37,0.4
1278,7.1,0.27,0.6,2.1,0.074,17.0,25.0,0.99814,3.38,0.72
3494,6.7,0.17,0.42,10.4,0.038,85.0,182.0,0.99628,3.04,0.44
1621,6.1,0.36,0.27,2.1,0.035,16.0,100.0,0.9917,3.4,0.71
3515,7.1,0.2,0.3,0.9,0.019,4.0,28.0,0.98931,3.2,0.36
4585,6.1,0.2,0.17,1.6,0.048,46.0,129.0,0.991,3.3,0.43
67,7.7,0.69,0.22,1.9,0.084,18.0,94.0,0.9961,3.31,0.48
4154,6.8,0.24,0.29,9.5,0.042,56.0,157.0,0.99586,3.11,0.51
2409,6.4,0.26,0.22,5.1,0.037,23.0,131.0,0.9944,3.29,0.32
2269,7.5,0.28,0.33,7.7,0.048,42.0,180.0,0.9974,3.37,0.59
5218,6.4,0.31,0.31,12.9,0.045,55.0,161.0,0.99546,3.02,0.59
820,7.1,0.56,0.14,1.6,0.078,7.0,18.0,0.99592,3.27,0.62
1226,7.4,0.785,0.19,5.2,0.094,19.0,98.0,0.99713,3.16,0.52
