,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
5204,6.4,0.32,0.25,5.0,0.055,28.0,138.0,0.99171,3.27,0.5,12.4
4388,6.3,0.18,0.24,3.4,0.053,20.0,119.0,0.99373,3.11,0.52,9.2
3889,6.6,0.35,0.34,4.9,0.032,9.0,125.0,0.99253,3.32,0.81,12.0
736,7.6,0.735,0.02,2.5,0.071,10.0,14.0,0.99538,3.51,0.71,11.7
2380,8.0,0.23,0.46,1.5,0.03,30.0,125.0,0.9907,3.23,0.47,12.5
336,7.4,0.63,0.07,2.4,0.09,11.0,37.0,0.9979,3.43,0.76,9.7
1872,7.8,0.32,0.33,2.4,0.037,18.0,101.0,0.9912,3.21,0.65,11.7
4630,6.4,0.41,0.01,6.1,0.048,20.0,70.0,0.99362,3.19,0.42,10.0
3366,6.3,0.38,0.17,8.8,0.08,50.0,212.0,0.99803,3.47,0.66,9.4
3412,6.8,0.34,0.1,1.4,0.049,29.0,118.0,0.9936,3.21,0.41,9.5
2996,8.0,0.25,0.13,17.2,0.036,49.0,219.0,0.9996,2.96,0.46,9.7
4692,6.3,0.34,0.31,6.0,0.02,18.0,68.0,0.98981,3.22,0.29,13.4
1071,7.0,0.58,0.28,4.8,0.085,12.0,69.0,0.99633,3.32,0.7,11.0
3955,5.6,0.28,0.4,6.1,0.034,36.0,118.0,0.99144,3.21,0.43,12.1
2086,6.0,0.45,0.65,9.7,0.08,11.0,159.0,0.9956,3.04,0.48,9.4
2605,7.9,0.22,0.24,4.6,0.044,39.0,159.0,0.9927,2.99,0.28,11.5
3982,6.8,0.21,0.4,6.3,0.032,40.0,121.0,0.99214,3.18,0.53,12.0
4256,8.1,0.26,0.27,4.3,0.03,43.0,123.0,0.99212,3.16,0.33,11.2
2807,6.8,0.3,0.24,6.6,0.123,35.0,116.0,0.9953,3.07,0.48,9.4
4441,6.8,0.25,0.3,11.8,0.043,53.0,133.0,0.99524,3.03,0.58,10.4
4383,6.3,0.2,0.18,10.6,0.045,57.0,159.0,0.99666,3.09,0.54,9.2
81,7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6
2748,7.1,0.3,0.49,1.6,0.045,31.0,100.0,0.9942,3.4,0.59,10.2
3830,5.0,0.3,0.33,3.7,0.03,54.0,173.0,0.9887,3.36,0.3,13.0
1972,7.0,0.21,0.34,8.0,0.057,19.0,101.0,0.9954,2.99,0.59,9.4
1714,7.8,0.21,0.27,1.2,0.051,20.0,89.0,0.9936,3.06,0.46,9.1
1488,7.6,0.18,0.46,10.2,0.055,58.0,135.0,0.9968,3.14,0.43,9.9
1777,7.2,0.28,0.54,16.7,0.045,54.0,200.0,0.999,3.08,0.49,9.5
498,12.3,0.27,0.49,3.1,0.079,28.0,46.0,0.9993,3.2,0.8,10.2
4624,7.2,0.17,0.28,17.55,0.05,33.0,154.0,0.99971,2.94,0.43,9.0
2228,6.2,0.34,0.29,7.6,0.047,45.0,232.0,0.9955,3.35,0.62,10.0
5081,5.2,0.5,0.18,2.0,0.036,23.0,129.0,0.98949,3.36,0.77,13.4
1946,7.4,0.31,0.48,14.2,0.042,62.0,204.0,0.9983,3.06,0.59,9.4
4244,7.6,0.23,0.29,8.6,0.053,65.0,146.0,0.9963,3.11,0.32,9.8
3318,6.5,0.18,0.29,1.7,0.035,39.0,144.0,0.9927,3.49,0.5,10.5
3460,6.6,0.42,0.13,12.8,0.044,26.0,158.0,0.99772,3.24,0.47,9.0
5178,6.1,0.24,0.32,9.0,0.031,41.0,134.0,0.99234,3.25,0.26,12.3
2457,6.9,0.2,0.4,7.7,0.032,51.0,176.0,0.9939,3.22,0.27,11.4
1610,7.2,0.19,0.46,3.8,0.041,82.0,187.0,0.9932,3.19,0.6,11.2
5149,6.4,0.69,0.09,7.6,0.044,34.0,144.0,0.9948,3.26,0.38,10.1
2592,8.5,0.17,0.74,3.6,0.05,29.0,128.0,0.9928,3.28,0.4,12.4
4204,6.2,0.37,0.24,6.1,0.032,19.0,86.0,0.98934,3.04,0.26,13.4
2309,9.8,0.36,0.45,1.6,0.042,11.0,124.0,0.9944,2.93,0.46,10.8
1022,7.7,0.57,0.21,1.5,0.069,4.0,9.0,0.99458,3.16,0.54,9.8
2596,7.0,0.2,0.74,0.8,0.044,19.0,163.0,0.9931,3.46,0.53,10.2
5200,5.9,0.48,0.3,1.5,0.037,19.0,78.0,0.99057,3.47,0.42,11.9
2280,7.0,0.17,0.33,4.0,0.034,17.0,127.0,0.9934,3.19,0.39,10.6
4116,7.6,0.2,0.26,4.8,0.033,26.0,76.0,0.99076,2.98,0.49,12.3
3487,6.6,0.24,0.28,1.8,0.028,39.0,132.0,0.99182,3.34,0.46,11.4
2298,6.5,0.22,0.34,12.0,0.053,55.0,177.0,0.9983,3.52,0.44,9.9
665,7.9,0.72,0.01,1.9,0.076,7.0,32.0,0.99668,3.39,0.54,9.6
5113,5.7,0.39,0.25,4.9,0.033,49.0,113.0,0.98966,3.26,0.58,13.1
4796,5.8,0.3,0.23,1.5,0.034,37.0,121.0,0.98871,2.96,0.34,12.1
1552,7.1,0.25,0.32,10.3,0.041,66.0,272.0,0.9969,3.17,0.52,9.1
4647,5.4,0.265,0.28,7.8,0.052,27.0,91.0,0.99432,3.19,0.38,10.4
5217,6.7,0.3,0.5,12.1,0.045,38.0,127.0,0.9974,3.04,0.53,8.9
1017,7.2,0.25,0.37,2.5,0.063,11.0,41.0,0.99439,3.52,0.8,12.4
557,9.5,0.59,0.44,2.3,0.071,21.0,68.0,0.9992,3.46,0.63,9.5
3038,7.2,0.15,0.39,1.8,0.043,21.0,159.0,0.9948,3.52,0.47,10.0
5079,6.1,0.44,0.28,4.25,0.032,43.0,132.0,0.9916,3.26,0.47,11.2666666666667
1207,8.3,0.26,0.37,1.4,0.076,8.0,23.0,0.9974,3.26,0.7,9.6
2291,6.3,0.16,0.4,1.6,0.033,59.0,148.0,0.9914,3.44,0.53,11.4
4149,5.8,0.15,0.32,1.2,0.037,14.0,119.0,0.99137,3.19,0.5,10.2
1510,6.0,0.67,0.07,1.2,0.06,9.0,108.0,0.9931,3.11,0.35,8.7
4965,6.4,0.13,0.28,0.9,0.045,32.0,87.0,0.99175,3.47,0.52,11.2
3265,6.9,0.44,0.18,11.8,0.051,26.0,126.0,0.9975,3.23,0.48,9.1
266,10.3,0.53,0.48,2.5,0.063,6.0,25.0,0.9998,3.12,0.59,9.3
2145,6.4,0.43,0.32,1.4,0.048,10.0,67.0,0.992,3.08,0.41,11.4
2685,7.8,0.26,0.49,3.1,0.045,21.0,116.0,0.9931,3.16,0.35,10.3
3619,6.9,0.615,0.42,12.0,0.067,24.0,131.0,0.99727,3.19,0.34,9.3
1909,6.6,0.27,0.25,3.1,0.052,41.0,188.0,0.9915,3.24,0.4,11.3
3231,7.2,0.39,0.54,1.4,0.157,34.0,132.0,0.99449,3.11,0.53,9.0
3503,6.9,0.13,0.28,13.3,0.05,47.0,132.0,0.99655,3.34,0.42,10.1
3196,6.9,0.21,0.33,1.4,0.056,35.0,136.0,0.9938,3.63,0.78,10.3
3882,6.5,0.36,0.38,10.2,0.028,20.0,82.0,0.99274,3.1,0.43,12.1
1784,5.9,0.62,0.28,3.5,0.039,55.0,152.0,0.9907,3.44,0.44,12.0
1237,7.9,0.2,0.35,1.7,0.054,7.0,15.0,0.99458,3.32,0.8,11.9
5249,7.0,0.24,0.47,1.3,0.043,18.0,131.0,0.99176,3.19,0.45,11.0
2765,7.8,0.445,0.56,1.0,0.04,8.0,84.0,0.9938,3.25,0.43,10.8
908,6.6,0.52,0.08,2.4,0.07,13.0,26.0,0.99358,3.4,0.72,12.5
1303,7.0,0.55,0.13,2.2,0.075,15.0,35.0,0.9959,3.36,0.59,9.7
3613,6.5,0.29,0.31,1.7,0.035,24.0,79.0,0.99053,3.27,0.69,11.4
1627,6.8,0.25,0.34,4.7,0.031,34.0,134.0,0.9927,3.21,0.38,10.6
1522,6.6,0.28,0.28,8.5,0.052,55.0,211.0,0.9962,3.09,0.55,8.9
835,12.2,0.45,0.49,1.4,0.075,3.0,6.0,0.9969,3.13,0.63,10.4
358,9.0,0.43,0.34,2.5,0.08,26.0,86.0,0.9987,3.38,0.62,9.5
138,7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,0.71,10.5
299,11.9,0.57,0.5,2.6,0.082,6.0,32.0,1.0006,3.12,0.78,10.7
1556,7.2,0.23,0.38,14.3,0.058,55.0,194.0,0.9979,3.09,0.44,9.0
1003,6.5,0.61,0.0,2.2,0.095,48.0,59.0,0.99541,3.61,0.7,11.5
382,7.0,0.62,0.18,1.5,0.062,7.0,50.0,0.9951,3.08,0.6,9.3
3010,8.0,0.23,0.35,9.2,0.044,53.0,186.0,0.997,3.09,0.56,9.5
761,9.0,0.8,0.12,2.4,0.083,8.0,28.0,0.99836,3.33,0.65,10.4
2894,6.0,0.26,0.29,1.0,0.032,27.0,96.0,0.9896,3.38,0.44,12.3
4486,5.9,0.18,0.29,4.6,0.032,68.0,137.0,0.99159,3.21,0.38,11.3
2495,7.2,0.16,0.32,0.8,0.04,50.0,121.0,0.9922,3.27,0.33,10.0
4783,6.8,0.26,0.26,2.0,0.019,23.5,72.0,0.99041,3.16,0.47,11.8
1402,7.2,0.19,0.31,1.6,0.062,31.0,173.0,0.9917,3.35,0.44,11.7
3150,7.0,0.22,0.33,2.1,0.052,15.0,76.0,0.993,3.2,0.41,10.6
4582,5.6,0.23,0.25,8.0,0.043,31.0,101.0,0.99429,3.19,0.42,10.4
1932,8.1,0.46,0.31,1.7,0.052,50.0,183.0,0.9923,3.03,0.42,11.2
5041,6.1,0.35,0.24,2.3,0.034,25.0,133.0,0.9906,3.34,0.59,12.0
4250,6.6,0.22,0.3,14.7,0.045,50.0,136.0,0.99704,3.14,0.37,10.6
3105,7.2,0.24,0.19,7.7,0.045,53.0,176.0,0.9958,3.17,0.38,9.5
3858,6.2,0.33,0.41,16.8,0.037,58.0,173.0,0.99882,3.25,0.57,9.4
58,7.5,0.52,0.16,1.9,0.085,12.0,35.0,0.9968,3.38,0.62,9.5
76,7.4,0.5,0.47,2.0,0.086,21.0,73.0,0.997,3.36,0.57,9.1
796,7.4,0.61,0.01,2.0,0.074,13.0,38.0,0.99748,3.48,0.65,9.8
3708,6.7,0.24,0.29,14.9,0.053,55.0,136.0,0.99839,3.03,0.52,9.0
785,5.3,0.715,0.19,1.5,0.161,7.0,62.0,0.99395,3.62,0.61,11.0
2316,6.9,0.2,0.28,1.2,0.048,36.0,159.0,0.9936,3.19,0.43,9.1
3227,7.2,0.29,0.2,7.7,0.046,51.0,174.0,0.99582,3.16,0.52,9.5
2223,6.6,0.14,0.44,1.6,0.042,47.0,140.0,0.993,3.32,0.51,10.2
2688,6.2,0.27,0.49,1.4,0.05,20.0,74.0,0.9931,3.32,0.44,9.8
4119,6.6,0.18,0.28,1.7,0.041,53.0,161.0,0.99207,3.13,0.45,10.2
910,8.0,0.62,0.35,2.8,0.086,28.0,52.0,0.997,3.31,0.62,10.8
2822,8.7,0.34,0.46,13.8,0.055,68.0,198.0,0.9988,3.36,0.37,9.5
4986,6.8,0.33,0.3,2.1,0.047,35.0,147.0,0.9886,3.24,0.56,13.4
1257,8.1,0.33,0.44,1.5,0.042,6.0,12.0,0.99542,3.35,0.61,10.7
3956,6.2,0.19,0.38,5.1,0.019,22.0,82.0,0.98961,3.05,0.36,12.5
5133,5.7,0.21,0.37,4.5,0.04,58.0,140.0,0.99332,3.29,0.62,10.6
1178,6.0,0.49,0.0,2.3,0.068,15.0,33.0,0.99292,3.58,0.59,12.5
5261,5.6,0.295,0.26,1.1,0.035,40.0,102.0,0.99154,3.47,0.56,10.6
442,11.2,0.67,0.55,2.3,0.084,6.0,13.0,1.0,3.17,0.71,9.5
3262,7.3,0.3,0.33,2.3,0.043,28.0,125.0,0.99084,3.34,0.44,12.6
3824,6.6,0.28,0.34,0.8,0.037,42.0,119.0,0.9888,3.03,0.37,12.5
3208,7.7,0.27,0.61,12.0,0.046,64.0,179.0,0.9982,3.07,0.46,8.9
5078,7.1,0.33,0.18,6.3,0.094,27.0,166.0,0.99474,2.9,0.49,9.5
3940,5.5,0.19,0.27,0.9,0.04,52.0,103.0,0.99026,3.5,0.39,11.2
5148,6.8,0.3,0.33,12.8,0.041,60.0,168.0,0.99659,3.1,0.56,9.8
4182,6.7,0.47,0.29,4.75,0.034,29.0,134.0,0.99056,3.29,0.46,13.0
2810,6.8,0.27,0.32,1.5,0.044,19.0,142.0,0.9921,3.1,0.43,9.9
3728,6.4,0.22,0.31,13.9,0.04,57.0,135.0,0.99672,3.21,0.38,10.7
4917,6.1,0.31,0.34,2.8,0.042,59.5,162.0,0.99179,3.27,0.47,10.8
4926,6.1,0.21,0.19,1.4,0.046,51.0,131.0,0.99184,3.22,0.39,10.5
2222,6.2,0.15,0.46,1.6,0.039,38.0,123.0,0.993,3.38,0.51,9.7
3458,7.3,0.16,0.35,1.5,0.036,29.0,108.0,0.99342,3.27,0.51,10.2
1502,7.1,0.3,0.46,1.5,0.066,29.0,133.0,0.9906,3.12,0.54,12.7
2488,7.9,0.16,0.64,17.0,0.05,69.0,210.0,1.0004,3.15,0.51,9.3
3082,7.6,0.18,0.36,2.4,0.049,38.0,123.0,0.996,3.6,0.46,10.3
2011,6.1,0.27,0.3,16.7,0.039,49.0,172.0,0.99985,3.4,0.45,9.4
3994,7.5,0.18,0.45,4.6,0.041,67.0,158.0,0.9927,3.01,0.38,10.6
4985,6.7,0.23,0.17,1.3,0.061,14.0,100.0,0.9925,3.07,0.55,9.5
4301,6.6,0.295,0.24,1.6,0.039,29.0,140.0,0.99304,3.35,0.61,10.4
3976,5.8,0.28,0.3,1.5,0.026,31.0,114.0,0.98952,3.32,0.6,12.5
6,7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0
678,7.1,0.59,0.01,2.5,0.077,20.0,85.0,0.99746,3.55,0.59,9.8
1943,6.3,0.34,0.28,14.7,0.047,49.0,198.0,0.9977,3.23,0.46,9.5
4808,5.7,0.22,0.2,16.0,0.044,41.0,113.0,0.99862,3.22,0.46,8.9
4904,6.3,0.19,0.32,2.8,0.046,18.0,80.0,0.99043,2.92,0.47,11.05
4141,7.4,0.29,0.28,10.2,0.032,43.0,138.0,0.9951,3.1,0.47,10.6
4098,7.6,0.17,0.27,4.6,0.05,23.0,98.0,0.99422,3.08,0.47,9.5
2858,7.8,0.4,0.26,9.5,0.059,32.0,178.0,0.9955,3.04,0.43,10.9
4901,5.2,0.22,0.46,6.2,0.066,41.0,187.0,0.99362,3.19,0.42,9.73333333333333
1064,7.1,0.6,0.01,2.3,0.079,24.0,37.0,0.99514,3.4,0.61,10.9
2995,6.7,0.31,0.44,6.7,0.054,29.0,160.0,0.9952,3.04,0.44,9.6
1474,8.2,0.23,0.4,1.2,0.027,36.0,121.0,0.992,3.12,0.38,10.7
3833,6.6,0.22,0.36,5.5,0.029,30.0,105.0,0.99206,3.2,0.47,11.8
4857,7.1,0.23,0.3,2.6,0.034,62.0,148.0,0.99121,3.03,0.56,11.3
4771,6.3,0.26,0.25,5.2,0.046,11.0,133.0,0.99202,2.97,0.68,11.0
2021,7.7,0.34,0.28,11.0,0.04,31.0,117.0,0.99815,3.27,0.29,9.2
4197,6.8,0.19,0.34,1.9,0.04,41.0,108.0,0.99,3.25,0.45,12.9
3438,8.6,0.34,0.36,1.4,0.045,11.0,119.0,0.99556,3.17,0.47,9.4
2194,8.6,0.18,0.36,1.8,0.04,24.0,187.0,0.9956,3.25,0.55,9.5
1130,7.4,0.6,0.26,2.1,0.083,17.0,91.0,0.99616,3.29,0.56,9.8
1461,7.4,0.16,0.31,6.85,0.059,31.0,131.0,0.9952,3.29,0.34,9.7
4822,5.6,0.26,0.0,10.2,0.038,13.0,111.0,0.99315,3.44,0.46,12.4
2648,14.2,0.27,0.49,1.1,0.037,33.0,156.0,0.992,3.15,0.54,11.1
4080,5.1,0.21,0.28,1.4,0.047,48.0,148.0,0.99168,3.5,0.49,10.4
222,7.7,0.775,0.42,1.9,0.092,8.0,86.0,0.9959,3.23,0.59,9.5
4937,6.3,0.39,0.22,2.8,0.048,53.0,173.0,0.99304,3.24,0.45,9.8
48,6.6,0.5,0.04,2.1,0.068,6.0,14.0,0.9955,3.39,0.64,9.4
573,7.2,0.57,0.06,1.6,0.076,9.0,27.0,0.9972,3.36,0.7,9.6
1236,8.4,0.29,0.4,1.7,0.067,8.0,20.0,0.99603,3.39,0.6,10.5
4026,6.7,0.24,0.37,11.3,0.043,64.0,173.0,0.99632,3.08,0.53,9.9
5161,5.5,0.315,0.38,2.6,0.033,10.0,69.0,0.9909,3.12,0.59,10.8
4788,5.9,0.14,0.2,1.6,0.04,26.0,114.0,0.99105,3.25,0.45,11.4
267,7.6,0.62,0.32,2.2,0.082,7.0,54.0,0.9966,3.36,0.52,9.4
1104,7.2,0.53,0.14,2.1,0.064,15.0,29.0,0.99323,3.35,0.61,12.1
1935,6.8,0.67,0.3,13.0,0.29,22.0,193.0,0.9984,3.08,0.67,9.0
386,10.0,0.44,0.49,2.7,0.077,11.0,19.0,0.9963,3.23,0.63,11.6
3758,6.2,0.2,0.31,1.0,0.031,22.0,73.0,0.99035,3.24,0.52,11.3
3519,6.3,0.27,0.46,11.1,0.053,44.0,177.0,0.99691,3.18,0.67,9.4
3102,8.3,0.17,0.31,1.5,0.049,48.0,153.0,0.9942,3.12,0.58,9.4
4667,5.7,0.31,0.28,4.1,0.03,22.0,86.0,0.99062,3.31,0.38,11.7
1563,6.8,0.24,0.34,2.7,0.047,64.5,218.5,0.9934,3.3,0.58,9.7
4705,7.1,0.13,0.29,15.5,0.064,56.0,115.5,0.99737,3.16,0.41,9.7
209,7.2,0.63,0.0,1.9,0.097,14.0,38.0,0.99675,3.37,0.58,9.0
909,11.1,0.31,0.53,2.2,0.06,3.0,10.0,0.99572,3.02,0.83,10.9
1289,6.6,0.7,0.08,2.6,0.106,14.0,27.0,0.99665,3.44,0.58,10.2
3971,6.5,0.21,0.4,7.3,0.041,49.0,115.0,0.99268,3.21,0.43,11.0
3089,7.3,0.34,0.3,1.3,0.057,25.0,173.0,0.9948,3.26,0.51,9.1
1842,8.2,0.23,0.29,1.8,0.047,47.0,187.0,0.9933,3.13,0.5,10.2
4362,7.1,0.2,0.27,9.6,0.037,19.0,105.0,0.99444,3.04,0.37,10.5
2916,7.1,0.25,0.25,1.6,0.046,50.0,181.0,0.9925,3.2,0.42,11.0
958,5.8,0.29,0.26,1.7,0.063,3.0,11.0,0.9915,3.39,0.54,13.5
1793,5.9,0.13,0.28,1.9,0.05,20.0,78.0,0.9918,3.43,0.64,10.8
2088,10.3,0.17,0.47,1.4,0.037,5.0,33.0,0.9939,2.89,0.28,9.6
331,11.4,0.625,0.66,6.2,0.088,6.0,24.0,0.9988,3.11,0.99,13.3
2917,6.4,0.18,0.31,1.6,0.049,36.0,127.0,0.9934,3.6,0.67,10.4
3114,6.2,0.34,0.3,11.1,0.047,28.0,237.0,0.9981,3.18,0.49,8.7
4996,6.3,0.36,0.2,2.0,0.048,48.0,191.0,0.9929,3.17,0.51,9.6
1774,7.2,0.4,0.62,10.8,0.041,70.0,189.0,0.9976,3.08,0.49,8.6
2698,7.0,0.27,0.74,1.5,0.036,27.0,122.0,0.9926,3.35,0.48,11.2
5125,6.4,0.31,0.53,8.8,0.057,36.0,221.0,0.99642,3.17,0.44,9.1
4331,5.9,0.18,0.28,5.1,0.039,50.0,139.0,0.99165,3.16,0.44,11.3
3570,7.0,0.15,0.3,13.3,0.049,46.0,120.0,0.99704,3.2,0.36,9.5
3024,8.1,0.22,0.28,7.7,0.043,57.0,176.0,0.9954,3.12,0.55,10.0
2245,6.1,0.37,0.36,4.7,0.035,36.0,116.0,0.991,3.31,0.62,12.6
3831,6.5,0.2,0.5,18.1,0.054,50.0,221.0,0.99941,2.94,0.64,8.8
4053,6.8,0.21,0.31,2.9,0.046,40.0,121.0,0.9913,3.07,0.65,10.9
1366,8.6,0.23,0.4,4.2,0.035,17.0,109.0,0.9947,3.14,0.53,9.7
173,7.3,0.58,0.3,2.4,0.074,15.0,55.0,0.9968,3.46,0.59,10.2
3697,6.9,0.15,0.29,2.3,0.033,14.0,82.0,0.99132,3.1,0.58,11.2
3785,5.1,0.29,0.28,8.3,0.026,27.0,107.0,0.99308,3.36,0.37,11.0
2314,5.7,0.1,0.27,1.3,0.047,21.0,100.0,0.9928,3.27,0.46,9.5
4651,6.2,0.3,0.32,1.2,0.052,32.0,185.0,0.99266,3.28,0.44,10.1
1952,8.6,0.27,0.46,6.1,0.032,13.0,41.0,0.993,2.89,0.34,10.9
5210,5.0,0.27,0.4,1.2,0.076,42.0,124.0,0.99204,3.32,0.47,10.1
2036,6.4,0.31,0.26,13.2,0.046,57.0,205.0,0.9975,3.17,0.41,9.6
3975,6.6,0.19,0.33,1.8,0.035,42.0,148.0,0.99196,3.15,0.36,10.2
3749,8.6,0.18,0.28,0.8,0.032,25.0,78.0,0.99104,2.99,0.38,11.1
3379,6.4,0.28,0.17,8.3,0.042,61.0,195.0,0.99577,3.22,0.46,9.4
0,7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4
2174,5.1,0.42,0.01,1.5,0.017,25.0,102.0,0.9894,3.38,0.36,12.3
1356,5.9,0.55,0.1,2.2,0.062,39.0,51.0,0.99512,3.52,0.76,11.2
3859,7.2,0.21,1.0,1.1,0.154,46.0,114.0,0.9931,2.95,0.43,9.2
2575,6.3,0.23,0.49,7.1,0.05,67.0,210.0,0.9951,3.23,0.34,9.5
2523,6.2,0.3,0.32,1.7,0.032,30.0,130.0,0.9911,3.28,0.41,11.2
396,7.0,0.23,0.4,1.6,0.063,21.0,67.0,0.9952,3.5,0.63,11.1
4075,6.6,0.435,0.38,9.2,0.058,66.0,243.0,0.99833,3.23,0.54,9.1
4263,5.7,0.22,0.22,16.65,0.044,39.0,110.0,0.99855,3.24,0.48,9.0
1812,5.5,0.35,0.35,1.1,0.045,14.0,167.0,0.992,3.34,0.68,9.9
2897,7.3,0.19,0.24,6.3,0.054,34.0,231.0,0.9964,3.36,0.54,10.0
3554,6.8,0.19,0.23,5.1,0.034,71.0,204.0,0.9942,3.23,0.69,10.1
816,9.5,0.37,0.52,2.0,0.088,12.0,51.0,0.99613,3.29,0.58,11.1
1572,5.8,0.24,0.44,3.5,0.029,5.0,109.0,0.9913,3.53,0.43,11.7
3372,6.1,0.36,0.41,19.35,0.07,67.0,207.0,1.00118,3.39,0.53,9.1
1800,7.2,0.31,0.46,5.0,0.04,3.0,29.0,0.9906,3.04,0.53,12.5
4220,6.4,0.3,0.36,2.0,0.052,18.0,141.0,0.99273,3.38,0.53,10.5
4654,7.0,0.2,0.4,1.1,0.058,30.0,93.0,0.99322,3.03,0.38,9.2
2627,6.6,0.3,0.24,1.2,0.034,17.0,121.0,0.9933,3.13,0.36,9.2
4603,5.9,0.23,0.24,1.6,0.037,32.0,115.0,0.99076,3.21,0.51,11.4
3095,5.9,0.17,0.3,1.4,0.042,25.0,119.0,0.9931,3.68,0.72,10.5
4882,6.1,0.34,0.21,5.0,0.042,17.0,133.0,0.99373,3.02,0.53,9.4
2650,7.4,0.27,0.49,1.1,0.037,33.0,156.0,0.992,3.15,0.54,11.1
3439,8.5,0.3,0.28,3.1,0.054,54.0,174.0,0.99543,3.21,0.43,9.4
4772,6.0,0.22,0.23,5.0,0.045,10.0,122.0,0.99261,2.94,0.63,10.0
554,7.7,0.915,0.12,2.2,0.143,7.0,23.0,0.9964,3.35,0.65,10.2
1159,6.9,0.54,0.3,2.2,0.088,9.0,105.0,0.99725,3.25,1.18,10.5
1213,7.6,0.43,0.31,2.1,0.069,13.0,74.0,0.9958,3.26,0.54,9.9
4845,5.9,0.2,0.28,1.0,0.043,45.0,100.0,0.99033,3.4,0.41,11.4
4088,5.8,0.17,0.36,1.3,0.036,11.0,70.0,0.99202,3.43,0.68,10.4
2895,6.8,0.33,0.28,1.2,0.032,38.0,131.0,0.9889,3.19,0.41,13.0
2686,8.5,0.17,0.49,8.8,0.048,23.0,108.0,0.9947,2.88,0.34,10.5
700,7.3,0.49,0.1,2.6,0.068,4.0,14.0,0.99562,3.3,0.47,10.5
3593,6.6,0.26,0.38,6.5,0.17,68.0,201.0,0.9956,3.19,0.38,9.4
3492,6.3,0.34,0.36,4.9,0.035,31.0,185.0,0.9946,3.15,0.49,9.7
3761,7.7,0.18,0.3,1.2,0.046,49.0,199.0,0.99413,3.03,0.38,9.3
1455,5.5,0.485,0.0,1.5,0.065,8.0,103.0,0.994,3.63,0.4,9.7
4467,7.1,0.44,0.23,5.8,0.035,24.0,100.0,0.99062,3.15,0.57,13.2
2357,9.8,0.44,0.4,2.8,0.036,35.0,167.0,0.9956,2.97,0.39,9.2
4599,6.5,0.46,0.24,11.5,0.051,56.0,171.0,0.99588,3.08,0.56,9.8
866,8.0,0.18,0.37,0.9,0.049,36.0,109.0,0.99007,2.89,0.44,12.7
1644,6.3,0.23,0.33,1.5,0.036,15.0,105.0,0.991,3.32,0.42,11.2
3614,6.8,0.3,0.22,6.2,0.06,41.0,190.0,0.99858,3.18,0.51,9.2
4403,6.1,0.22,0.46,1.8,0.16,34.0,74.0,0.9884,3.19,0.33,13.4
2763,8.1,0.28,0.46,15.4,0.059,32.0,177.0,1.0004,3.27,0.58,9.0
1490,8.2,0.23,0.4,7.5,0.049,12.0,76.0,0.9966,3.06,0.84,9.7
3599,6.4,0.21,0.44,7.4,0.045,47.0,182.0,0.9957,3.24,0.46,9.1
729,9.9,0.25,0.46,1.7,0.062,26.0,42.0,0.9959,3.18,0.83,10.6
3132,6.8,0.28,0.39,1.4,0.036,15.0,115.0,0.9918,3.27,0.72,11.7
2809,7.0,0.21,0.31,6.0,0.046,29.0,108.0,0.9939,3.26,0.5,10.8
1936,7.2,0.28,0.3,10.7,0.044,61.0,222.0,0.9972,3.14,0.5,9.1
1110,8.0,0.28,0.44,1.8,0.081,28.0,68.0,0.99501,3.36,0.66,11.2
4334,7.3,0.31,0.25,6.65,0.032,30.0,138.0,0.99244,2.9,0.37,11.1
4762,8.0,0.33,0.32,4.6,0.041,31.0,180.0,0.99184,2.92,0.74,12.2
1185,7.3,0.59,0.26,2.0,0.08,17.0,104.0,0.99584,3.28,0.52,9.9
2007,6.7,0.11,0.34,8.8,0.043,41.0,113.0,0.9962,3.42,0.4,9.3
193,8.1,0.725,0.22,2.2,0.072,11.0,41.0,0.9967,3.36,0.55,9.1
1515,6.9,0.27,0.4,14.0,0.05,64.0,227.0,0.9979,3.18,0.58,9.6
578,11.3,0.34,0.45,2.0,0.082,6.0,15.0,0.9988,2.94,0.66,9.2
2123,5.8,0.29,0.05,0.8,0.038,11.0,30.0,0.9924,3.36,0.35,9.2
1429,7.1,0.2,0.34,16.0,0.05,51.0,166.0,0.9985,3.21,0.6,9.2
4842,6.3,0.28,0.22,11.5,0.036,27.0,150.0,0.99445,3.0,0.33,10.6
5269,5.6,0.34,0.25,2.5,0.046,47.0,182.0,0.99093,3.21,0.4,11.3
1846,7.3,0.3,0.22,6.4,0.056,44.0,168.0,0.9947,3.13,0.35,10.1
131,7.6,0.49,0.26,1.6,0.236,10.0,88.0,0.9968,3.11,0.8,9.3
178,8.8,0.37,0.48,2.1,0.097,39.0,145.0,0.9975,3.04,1.03,9.3
4757,7.1,0.38,0.42,11.8,0.041,32.0,193.0,0.99624,3.04,0.49,10.0
3058,7.2,0.23,0.33,12.7,0.049,50.0,183.0,0.9987,3.41,0.4,9.8
